Model,Scenario,Region,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110
JM_GLB_NITRO_MACRO_TRD,baseline,R11_LAM,Final energy|gas,GWa,0.0,0.0,0.0,7.783150718173829,1.725820144963279,0.8629100724816396,0.4314550362408198,0.2157275181204099,0.107863759060205,0.05393187953010248,0.02696593976505124,0.01348296988252562,0.00674148494126281
JM_GLB_NITRO_MACRO_TRD,baseline,R11_MEA,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_MEA,Final energy|coal,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_MEA,Final energy|electr,GWa,0.0,0.0,0.0,0.04237506888385445,0.04885487537005595,0.02442743768502798,0.002988223371557824,0.001494111685778912,0.0007470558428894561,0.000373527921444728,0.000186763960722364,9.338198036118201e-05,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_MEA,Final energy|fueloil,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_MEA,Final energy|gas,GWa,0.0,0.0,0.0,5.071857114530076,5.847422877453027,2.923711438726514,0.3576594060149176,0.1788297030074588,0.08941485150372941,0.0447074257518647,0.02235371287593235,0.01117685643796618,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_NAM,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_NAM,Final energy|coal,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_NAM,Final energy|electr,GWa,0.0,0.0,0.0,0.1053243715810672,0.04998924095742696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_NAM,Final energy|fueloil,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_NAM,Final energy|gas,GWa,0.0,0.0,0.0,12.60623704945479,5.983194696268356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAO,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAO,Final energy|coal,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAO,Final energy|electr,GWa,0.0,0.0,0.0,0.02308479362107074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAO,Final energy|fueloil,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAO,Final energy|gas,GWa,0.0,0.0,0.0,2.763010842186418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAS,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAS,Final energy|coal,GWa,0.0,0.0,0.0,11.27883639552141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAS,Final energy|electr,GWa,0.0,0.0,0.0,0.9336994057479724,0.07515063194352223,0.02128510381340809,0.01064255190670405,0.005321275953352023,0.002660637976676011,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAS,Final energy|fueloil,GWa,0.0,0.0,0.0,0.3441357263091191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_PAS,Final energy|gas,GWa,0.0,0.0,0.0,11.75479633438226,8.994752747868915,2.547606601075699,1.27380330053785,0.6369016502689249,0.3184508251344624,0.0,0.0,0.0,0.0
